"","State","total_vaccinations","total_distributed","total_people_vaccinated","mean_daily_vaccination","population"
"1","California",33109680,42020680,20284982,276777,39613500
"2","Texas",20215285,27376775,11508786,166111,29730300
"3","Florida",16431037,22007995,9460421,134741,21944600
"4","Pennsylvania",10952811,13571705,6727935,91363,12804100
"5","Illinois",10146731,12855545,6184414,84242,12569300
"6","Ohio",8930170,11024855,4890014,74817,11714600
"7","New Jersey",7934175,9490755,4813916,66219,8874520
"8","Michigan",7688179,10065270,4438313,64073,9992430
"9","North Carolina",7498381,10441180,4248350,63067,10701000
"10","Virginia",7233201,8689335,4234063,61021,8603980
"11","Massachusetts",6858691,8068900,4141658,56624,6912240
"12","Georgia",6799470,9921025,3869064,57008,10830000
"13","Washington",6367124,7942520,3772502,52906,7796940
"14","Arizona",5372605,7081205,3077983,45203,7520100
"15","Maryland",5221259,6647830,3094920,43569,6065440
"16","Wisconsin",4961248,5555605,2746530,41577,5852490
"17","Colorado",4880920,5861710,2804920,39686,5893630
"18","Minnesota",4721950,5348340,2788250,39126,5706400
"19","Indiana",4506166,5727410,2553033,36722,6805660
"20","Tennessee",4346845,5671770,2444465,35037,6944260
"21","Missouri",4243742,5508655,2388865,35218,6169040
"22","Connecticut",3512139,4077035,2043434,28764,3552820
"23","South Carolina",3439210,4728205,1947391,29044,5277830
"24","Oregon",3395077,4219185,2030348,27798,4289440
"25","Kentucky",3309482,4092275,1893307,27486,4480710
"26","Louisiana",2861659,3754030,1553840,23265,4627000
"27","Oklahoma",2786611,3834415,1560916,22924,3990440
"28","Alabama",2768204,4277330,1654267,23091,4934190
"29","Iowa",2564630,2973685,1440023,21283,3167970
"30","Utah",2263595,2733780,1311972,18943,3310770
"31","Nevada",2209675,2636770,1271782,18431,3185790
"32","Puerto Rico",2174111,3477130,1356681,17514,3194370
"33","Kansas",2146247,2826985,1275039,17847,2917220
"34","New Mexico",1927317,2112295,1110016,15891,2105000
"35","Arkansas",1900002,2677170,1107515,16272,3033950
"36","Mississippi",1655785,2496365,951726,13852,2966410
"37","Nebraska",1536579,1851220,868691,12534,1952000
"38","Hawaii",1386097,1565860,832725,11379,1406430
"39","Maine",1276858,1520230,768255,10562,1354520
"40","West Virginia",1216002,1682345,657366,9654,1767860
"41","New Hampshire",1159614,1422785,831667,9759,1372200
"42","Idaho",1132383,1490225,626090,9539,1860120
"43","Rhode Island",988104,1289815,582139,8185,1061510
"44","Delaware",825352,1057915,478333,6870,990334
"45","Montana",799489,1024695,449535,6561,1085000
"46","South Dakota",731988,910375,403387,5953,896581
"47","District of Columbia",655560,918975,360914,5352,714153
"48","Vermont",632395,757120,382267,5174,623251
"49","North Dakota",581749,654800,305561,4710,770026
"50","Alaska",571368,777945,312535,4649,724357
"51","Wyoming",369975,490875,201135,3063,581075
